# Copyright (c) 1966-2018 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement.
# Generated: 2018-10-22
# See end of file for additional documentation on specific fields
# Sort	Month	Day	Year	Cyto Location	Gene Symbols	Confidence (deprecated)	Gene Name	MIM Number	Mapping Method	Comments	Phenotypes	Mouse Gene Symbol
1.11	11	29	16	1p36.33	ATAD3C		ATPase family, AAA domain-containing, member 3C	617227	REc			
1.12	5	6	13	1p36.33	C1orf86, FAAP20		Chromosome 1 open reading frame 86	615183	REc			
1.13	7	3	06	1p36.33	CALML6, CAGLP		Calmodulin-like 6	610171	REc			
1.14	9	30	10	1p36.33	CCNL2		Cyclin L2	613482	REc			4(Ccnl2)
1.15	3	23	14	1p36.33	CPSF3L, INTS11, RC68		Cleavage and polyadenylation-specific factor 3-like	611354	REc			
1.16	10	13	15	1p36.33	FAM132A, C1QDC2, C1QTNF12		Family with sequence similarity 132, member A	616593	REc			
1.17	11	1	13	1p36.33	GLTPD1, CPTP		Glycolipid transfer protein domain-containing protein 1	615467	REc			
1.18	12	19	14	1p36.33	ISG15, G1P2, IFI15, IMD38		ISG15 ubiquitin-like modifier	147571	REa, REc		Immunodeficiency 38, 616126 (3)	
1.19	3	23	09	1p36.33	MIR200A, MIRN200A		Micro RNA 200A	612090	REc			
1.20	3	23	09	1p36.33	MIR200B, MIRN200B		Micro RNA 200B	612091	REc			
1.21	3	23	09	1p36.33	MIR429, MIRN429		Micro RNA 429	612094	REc			
1.22	1	9	17	1p36.33	MXRA8, ASP3		Matrix remodeling-associated protein 8	617293	REc			4(Mxra8)
1.23	2	20	07	1p36.33	NOC2L, NIR		Nucleolar complex-associated protein 2, S. cerevisiae, homolog of	610770	REc			
1.24	8	18	14	1p36.33	PERM1, C1orf170		PPARGC1-and ESRR-induced regulator, muscle, 1	615921	REc			
1.25	1	21	16	1p36.33	SAMD11, MRS		Sterile alpha motif domain-containing protein 11	616765	REc			
1.26	10	10	11	1p36.33	SDF4, CAB45		Stromal cell-derived factor 4	614282	REc			
1.27	9	21	17	1p36.33	SSU72		Ssu72, S. cerevisiae, homolof of	617680	REc, H			4(Ssu72)
1.28	4	24	01	1p36.33	TAS1R3, T1R3		Taste receptor type 1, member 3	605865	REn, REc			4(Tas1r3)
1.29	12	2	14	1p36.33	TMEM240, C1orf70, SCA21		Transmembrane protein 240	616101	REc, Fd		Spinocerebellar ataxia 21, 607454 (3)	
1.30	10	27	89	1p36.23	CA6		Carbonic anhydrase VI	114780	REa, A, REc, R			
1.31	2	18	08	1p36.33	NADK		NAD kinase	611616	REc			
1.32	4	4	16	1p36.23	PER3, FASPS3		Period, Drosophila, homolog of, 3	603427	REc	mutation identified in 1 FASPS3 family	?Advanced sleep phase syndrome, familial, 3, 616882 (3)	
1.33	7	18	06	1p36.32	ACTRT2, ARPT2, ARPM2		Actin-related protein T2	608535	REc			
1.34	5	21	07	1p36.32	AJAP1, SHREW1		Adherens junction-associated protein 1	610972	R, REc			
1.35	2	2	16	1p36.32	CEP104, GLYBP, KIAA0562, JBTS25		Centrosomal protein, 104kD	616690	R, REc		Joubert syndrome 25, 616781 (3)	
1.36	8	29	13	1p36.33	MIB2		Mindbomb, Drosophila, homolog of, 2	611141	A, REc			
1.37	4	8	13	1p36.32	MIR551A		Micro RNA 551A	615148	REc			
1.38	09	06	18	1p36.32	MMEL1, NEPII, NEP2, NL1, SEP		Membrane metalloendopeptidase-like 1	618104	REc			
1.39	10	25	12	1p36.32	PEX10, NALD, PBD6A, PBD6B		Peroxisome biogenesis factor 10	602859	REc		Peroxisome biogenesis disorder 6A (Zellweger), 614870 (3); Peroxisome biogenesis disorder 6B, 614871 (3)	
1.40	7	9	09	1p36.32	PLCH2, PLCL4		Phospholipase C, eta-2	612836	REc			
1.41	8	27	15	1p36.32	TPRG1L, FAM79A		Tumor protein p63 regulated 1-like	611460	R, REc			
1.42	4	8	03	1p36.32-p36.13	DYT13		Dystonia 13, torsion	607671	Fd		Dystonia 13, torsion (2)	
1.43	4	16	11	1p36.32-p35.3	KONDS		Kondoh syndrome (mental retardation, microcephaly, growth retardation, joint contractures, and facial dysmorphism)	606242	Fd	linked to rs966321 and rs1441834	Kondoh syndrome (2)	
1.44	10	5	11	1p36.31	GPR153		G protein-coupled receptor 153	614269	REc			4(Gpr153)
1.45	3	24	06	1p36.31	HES2		Hairy/enhancer of split, Drosophila, homolog of, 2	609970	REc			
1.46	3	24	06	1p36.31	HES3		Hairy/enhancer of split, Drosophila, homolog of, 3	609971	REc			
1.47	3	24	06	1p36.33	HES4		Hairy/enhancer of split, Drosophila, homolog of, 4	608060	REc			
1.48	3	24	06	1p36.32	HES5		Hairy/enhancer of split, Drosophila, homolog of, 5	607348	REc			
1.49	3	12	15	1p36.31	KLHL21, KIAA0469		Kelch-like 21	616262	R, REc			
1.50	4	27	16	1p36.31	RNF207, C1orf188		RING finger protein 207	616923	REc			
1.51	1	20	09	1p36.31	THAP3		THAP domain-containing protein 3	612532	REc			
1.52	11	4	93	1p36.31	RPL22, EAP		Ribosomal protein L22	180474	Ch, REc	fused with AML1 in t(3;21)		
1.53	9	18	12	1p36.31	DNAJC11		DNAJ/HSP40 homolog, subfamily C, member 11	614827	REc			
1.54	1	5	12	1p36.31-p36.13	DFNB96		Deafness, autosomal recessive 96	614414	Fd	between rs3817914 and rs477558	Deafness, autosomal recessive 96 (2)	
1.55	8	18	12	1p36.33	AURKAIP1, AKIP, AIP		Aurora kinase A-interacting protein 1	609183	R, REc			
1.56	12	22	17	1p36.33	B3GALT6, SEMDJL1, EDSSPD2		UDP-Gal:beta-Gal beta-1,3-galactosyltransferase polypeptide 6	615291	REc		Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640 (3); Ehlers-Danlos syndrome, spondylodysplastic type, 2, 615349 (3)	4(B3galt6)
1.57	1	27	11	1p36.33	CDK11B, CDC2L1, P58, CDK11		Cyclin-dependent kinase 11B	176873	REa, A, Pcm, A			
1.58	1	27	11	1p36.33	CDK11A, CDC2L2		Cyclin-dependent kinase 11A	116951	A			
1.59	8	4	99	1p36.32	DFFB, CAD, DFF2		DNA fragmentation factor, 40kD, beta subunit	601883	A			
1.60	9	11	12	1p36.33	GABRD, GEFSP5, EIG10, EJM7		Gamma-aminobutyric acid (GABA) A receptor, delta	137163	REa, R, REc		{Epilepsy, generalized, with febrile seizures plus, type 5, susceptibility to}, 613060 (3); {Epilepsy, idiopathic generalized, 10}, 613060 (3); {Epilepsy, juvenile myoclonic, susceptibility to}, 613060 (3)	
1.61	12	24	08	1p36.32	MEGF6, EGFL3		Multiple epidermal growth factor-like domains 6	604266	R			
1.62	6	15	99	1p36.33	TNFRSF18, AITR, GITR		Tumor necrosis factor receptor superfamily, member 18	603905	R			
1.63	3	30	99	1p36.31	KCNAB2, KCNA2B		Potassium voltage-gated channel, shaker-related subfamily, beta member 2	601142	A			
1.64	11	1	99	1p36.33	MMP23A, MMP21, MIFR		Matrix metalloproteinase 23A	603320	REc			
1.65	11	1	99	1p36.33	MMP23B, MMP22		Matrix metalloproteinase 23B	603321	REc			
1.66	1	12	11	1p36.22	MTHFR		Methylenetetrahydrofolate reductase	607093	A		Homocystinuria due to MTHFR deficiency, 236250 (3); {Schizophrenia, susceptibility to}, 181500 (3); {Vascular disease, susceptibility to} (3); {Neural tube defects, susceptibility to}, 601634 (3); {Thromboembolism, susceptibility to}, 188050 (3)	4(Mthfr)
1.67	9	9	13	1p36.32	PRDM16, MEL1, LVNC8, CMD1LL		PR domain-containing protein 16	605557	REc, Ch		Left ventricular noncompaction 8, 615373 (3); Cardiomyopathy, dilated, 1LL, 615373 (3)	
1.68	8	9	99	1p36.3	PTPRZ2		Protein-tyrosine phosphatase, receptor-type, zeta-2	604008	A			
1.69	1	20	98	1p36.13	RNU1A, RNU1		RNA, U1A small nuclear	180680	REa, A	?same as A12M2		3(Rnu1b1)
1.70	10	5	12	1p36.33-p36.32	SKI, SGS		Avian sarcoma viral (v-ski) oncogene homolog	164780	REa, A, Ch	formerly mapped to 1q22-q24	Shprintzen-Goldberg syndrome, 182212 (3)	
1.71	12	23	02	1p36.31	TNFRSF25, TNFRSF12, DR3, LARD		Tumor necrosis factor receptor superfamily, member 25	603366	A, Ch			
1.72	9	28	10	1p36.22	UBE4B, UFD2A, KIAA0684		Ubiquitination factor E4B	613565	REc			
1.73	4	6	13	1p36.22	UBIAD1, TERE1, SCCD		UbiA prenyltransferase domain-containing protein 1	611632	A, Fd		Corneal dystrophy, Schnyder type, 121800 (3)	
1.74	3	20	08	1p36.33	VWA1, WARP		von Willebrand factor A domain-containing protein 1	611901	REc			
1.75	6	20	01	1p36.32	WDR8		WD repeat-containing protein 8	606040	A			
1.76	11	22	13	1p36.31	ZBTB48, HKR3		Zinc finger- and BTB domain-containing protein 48	165270	REa, A			
1.77	2	6	94	1p36.12	HTR1D		5-hydroxytryptamine (serotonin) receptor-1D	182133	REa, A			4(Htr1d)
1.78	6	10	98	1p36.22	DFFA, DFF1		DNA fragmentation factor, 45kD, alpha subunit	601882	A			
1.79	3	10	11	1p36.22	MASP2		Mannan-binding lectin serine protease 2	605102	A, R		MASP2 deficiency, 613791 (3)	
1.80	12	22	17	1p36.22	PLOD1, LH1, LLH, EDSKCL1		Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase)	153454	REa, A		Ehlers-Danlos syndrome, kyphoscoliotic type, 1, 225400 (3)	4(Plod)
1.81	9	15	96	1p36.33	SCNN1D		Sodium channel, voltage-gated, type I, delta polypeptide	601328	A			
1.82	12	18	98	1p36.22	TNFRSF1B, TNFR2, TNFBR		Tumor necrosis factor receptor superfamily, member 1B	191191	REa, A, Fd			4(Tnfr1)
1.83	12	14	98	1p36.32	TNFRSF14, HVEM, TR2		Tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	602746	A			
1.84	1	11	07	1p36.21	CASP9, APAF3		Caspase 9, apoptosis-related cysteine protease	602234	A			
1.85	3	16	06	1p36.31	ESPN		Espin, mouse, homolog of	606351	R, H		Deafness, autosomal recessive 36, 609006 (3); Deafness, neurosensory, without vestibular involvement, autosomal dominant (3)	4(espn)
1.86	2	28	08	1p36.33	MRPL20		Mitochondrial ribosomal protein L20	611833	R			
1.87	2	17	11	1p36.12	C1QA		Complement component 1, q subcomponent, A chain	120550	REa, REb		C1q deficiency, 613652 (3)	
1.88	2	17	11	1p36.12	C1QB		Complement component 1, q subcomponent, B chain	120570	REa, REb		C1q deficiency, 613652 (3)	(C1qb)
1.89	2	17	11	1p36.12	C1QC, C1QG		Complement component 1, q subcomponent, C chain	120575	REn, REb		C1q deficiency, 613652 (3)	
1.90	9	9	08	1p36.13	FBXO42, FBX42, KIAA1332		F-box only protein 42	609109	REc			4(Fbox42)
1.91	9	9	08	1p36.22	FBXO6, FBX6, FBG2		F-box only protein 6	605647	REc			4(Fbxo6)
1.92	1	8	07	1p36.13	HSPB7, CVHSP		Heat-shock 27kD protein 7	610692	REc			
1.93	7	18	14	1p36.23	UTS2		Urotensin II	604097	REc			
1.94	12	30	04	1p36.22	APITD1		Apoptosis-inducing, TAF9-like domain 1	609130	REa, REc			
1.95	7	17	09	1p36.22	CTNNBIP1, ICAT		Catenin, beta-interacting protein 1	607758	R, REc			
1.96	3	20	09	1p36.22	DRAXIN, C1orf187		Dorsal repulsive axon guidance protein	612682	REc			
1.97	7	27	09	1p36.22	EXOSC10, PMSCL2		Exosome component 10	605960	R, REc			
1.98	5	24	13	1p36.22	LZIC		Leucine zipper and CTNNBIP1 domains-containing protein	610458	REc			
1.99	9	25	12	1p36.22	NMNAT1, NMNAT, PNAT1, LCA9		Nicotinamide nucleotide adenylyltransferase 1	608700	REc		Leber congenital amaurosis 9, 608553 (3)	
1.100	9	9	08	1p36.22	PTCHD2, DISP3, KIAA1337		Patched domain-containing protein 2	611251	REc			
1.101	2	28	07	1p36.22	SLC25A33		Solute carrier family 25 (mitochondrial carrier), member 33	610816	REc			4(Slc25A33)
1.102	12	18	07	1p36.22	SPSB, SSB1		SPRY domain- and SOCS box-containing 1	611657	R, REc			
1.103	9	22	08	1p36.22	CASZ1, SRG		Castor zinc finger protein 1	609895	A, REc			4(Srg)
1.104	10	10	18	1p36.22-p36.21	VPS13D, SCAR4		Vacuolar protein sorting 13, yeast, homolog of, D	608877	REc		Spinocerebellar ataxia, autosomal recessive 4, 607317 (3)	4(Vps13d)
1.105	3	5	18	1p36.21	AGMAT, AUH		Agmatinase	617887	REc			
1.106	2	11	08	1p36.21	CTRC, CLCR		Chymotrypsin	601405	REc		{Pancreatitis, chronic, susceptibility to}, 167800 (3)	
1.107	7	20	15	1p36.21	EFHD2, SWS1		EF-hand domain family, member D2	616450	REc			
1.108	9	9	08	1p36.22	FBXO44, FBX44, FBX6A, FBG3		F-box only protein 44	609111	REc			4(Fbxo44)
1.109	2	28	06	1p36.21	GBD2		Gallbladder disease 2	609918	Fd	between D1S1597 and D1S47	Gallbladder disease 2 (2)	
1.110	5	6	13	1p36.21	LRRC38		Leucine-rich repeat-containing protein 38	615212	REc			
1.111	12	10	13	1p36.21	PDPN, TI1A, T1A2, GP36, OTS8, AGGRUS		Podoplanin	608863	REc, R			
1.112	7	8	16	1p36.21	PLEKHM2, SKIP, KIAA0842		Pleckstrin homology domain-containing protein, family M, member 2	609613	REc			
1.113	3	12	07	1p36.21	SLC25A34		Solute carrier family 25, member 34	610817	REc			4(Slc25A34)
1.114	9	2	12	1p36.21	CELA2A, ELA2A		Chymotrypsin-like elastase family, member 2A	609443	REc, R			
1.115	9	2	12	1p36.21	CELA2B, ELA2B		Chymotrypsin-like elastase family, member 2B	609444	REc			
1.116	3	31	15	1p36.22	KIF1B, CMT2A, CMT2A1, NBLST1		Kinesin family member 1B	605995	Fd, REc, D	mutation identified in 1 CMT2A1 family	?Charcot-Marie-Tooth disease, type 2A1, 118210 (3); Pheochromocytoma, 171300 (3); {Neuroblastoma, susceptibility to, 1}, 256700 (3)	4(Kif1b)
1.117	8	30	16	1p36.22	MFN2, KIAA0214, CMT2A2A, HMSN6A, CMT2A2B		Mitofusin 2	608507	R, REa, REc		Charcot-Marie-Tooth disease, axonal, type 2A2A, 609260 (3); Hereditary motor and sensory neuropathy VIA, 601152 (3); Charcot-Marie-Tooth disease, axonal, type 2A2B, 617087 (3)	
1.118	4	20	17	1p36.22	MTOR, FRAP1, SKS		Mechanistic target of rapamycin	601231	R, A		Smith-Kingsmore syndrome, 616638 (3); Focal cortical dysplasia, type II, somatic, 607341 (3)	
1.119	7	8	09	1p36.13	NBPF1, KIAA1693		Neuroblastoma breakpoint family, member 1	610501	R, REc	pseudogenes on 3 and 5		
1.120	9	15	11	1p36.12	NBPF3		Neuroblastoma breakpoint family, member 3	612992	REc, A			
1.121	4	29	14	1p36.22	NPPA, PND, ANP, ATFB6, ATRST2		Natriuretic peptide precursor A	108780	REa, A, H		Atrial fibrillation, familial, 6, 612201 (3); Atrial standstill 2, 615745 (3)	4(Pnd)
1.122	5	9	95	1p36.22	NPPB, BNP		Natriuretic peptide precursor B	600295	H, REa, A, REn			4(Nppb)
1.123	10	25	12	1p36.22	PEX14, PBD13A		Peroxisome biogenesis factor 14	601791	R, REc		Peroxisome biogenesis disorder 13A (Zellweger), 614887 (3)	
1.124	5	23	14	1p36.22	PIK3CD, APDS, IMD14		Phosphatidylinositol 3-kinase, catalytic, 110kD, delta	602839	A, R		Immunodeficiency 14, 615513 (3)	
1.125	3	12	08	1p36.2	SCZD12		Schizophrenia 12	608543	Fd	max lod at D1S1612	{Schizophrenia 12}, 181500 (2)	
1.126	8	4	99	1p36.23	SLC2A5, GLUT5		Solute carrier family 2 (facilitated glucose transporter), member 5	138230	REa, A, REc, R			
1.127	10	11	06	1p36.23	SLC2A7, GLUT7		Solute carrier family 2 (facilitated glucose transporter), member 7	610371	REc			
1.128	10	5	10	1p36.22	TARDBP, TDP43, ALS10		TAR DNA-binding protein	605078	R, REc	pseudogenes on 2, 6, 8, 13, 20	Amyotrophic lateral sclerosis 10, with or without FTD, 612069 (3); Frontotemporal lobar degeneration, TARDBP-related, 612069 (3)	4(Tardbp)
1.129	4	10	90	1p36.22	PGD		6-phosphogluconate dehydrogenase	172200	F, S			4(Pgd)
1.130	3	16	10	1p36.13	PAX7, RMS2		Paired box homeotic gene-7	167410	Psh, H, REa, A	fused with FKHR in rhabdomyosarcoma	Rhabdomyosarcoma 2, alveolar, 268220 (3)	4(Pax7)
1.131	3	24	88	1p35.3	FGR, SRC2		Oncogene FGR	164940	A, REb, REa, Fd	same as SRC2		4(Fgr)
1.132	9	22	97	1p36.2-p36.1	GLC3B		Glaucoma 3, primary infantile, B	600975	Fd		Glaucoma 3, primary infantile, B (2)	
1.133	6	17	16	1p36.23	RERE, NEDBEH		RE repeats-encoding gene	605226	REc, Ch		Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart, 616975 (3)	
1.134	6	28	17	1p36.23	SLC45A1, DNB5, IDDNPF		Solute carrier family 45, member 1	605763	REc		Intellectual developmental disorder with neuropsychiatric features, 617532 (3)	
1.135	10	3	11	1p36.13	ZBTB17, ZNF151, MIZ1		Zinc finger- and BTB domain-containing protein 17	604084	A			
1.136	1	1	95	1p36.12	CDA		Cytidine deaminase	123920	A, Psh			
1.137	2	19	08	1p35.3	EPB41, EL1		Erythrocyte surface protein band 4.1	130500	F, REb		Elliptocytosis-1, 611804 (3)	4(Elp1)
1.138	5	14	18	1p36.11	RHCE, RHNA		Rhesus system C and E polypeptides	111700	F, D, Fd	?order: C-E-D	[Blood group, Rhesus] (3); Rh-null disease, amorph type, 617970 (3)	
1.139	5	25	05	1p36.11	RHD		Rhesus system D polypeptide	111680	F, D, Fd		[Rh-negative blood type] (3)	
1.140	5	23	12	1p36.13	AKR7A2, AKR7, AFAR		Aldo-keto reductase family 7, member A2	603418	REn	pseudogenes on Xq25 and 1p12		
1.141	8	8	13	1p36.13	AKR7A3, AFAR2		Aldo-keto reductase family 7, member A3	608477	REc, A			
1.142	8	8	13	1p36.13	AKR7A4, AFAR3		Aldo-keto reductase family 7, member A4	608478	REc, A			
1.143	12	22	08	1p36.13	ARHGEF10L, GRINCHGEF, KIAA1626		RHO guanine nucleotide exchange factor 10-like protein	612494	REc			
1.144	12	22	08	1p36.13	ARHGEF19, WGEF		RHO guanine nucleotide exchange factor 19	612496	REc			4(Arhgef19)
1.145	10	13	15	1p36.12	ASAP3, UPLC1, CENTB6, DDEFL1, ACAP4		ARF GTPase-activating protein with SH3 domain, ankyrin repeat, and PH domain 3	616594	REc			
1.146	3	30	16	1p36.13	EMC1, KIAA0090, CAVIPMR		Endoplasmic reticulum membrane protein complex, subunit 1	616846	Psh		Cerebellar atrophy, visual impairment, and psychomotor retardation, 616875 (3)	
1.147	7	17	09	1p36.21	FBLP1, MIGFILIN		Filamin-binding LIM protein 1	607747	REc			
1.148	9	28	15	1p36.13	MINOS1, MIO10, MIC10		Mitochondrial inner membrane organizing system protein 1	616574	REc			
1.149	2	18	08	1p36.13	NECAP2		NECAP endocytosis-associated protein 2	611624	R, REc			
1.150	1	28	08	1p36.13	OTUD3, KIAA0459		OTU domain-containing protein 3	611758	R, REc			
1.151	1	16	07	1p36.13	PADI1		Peptidylarginine deiminase, type I	607934	REc, REn			
1.152	1	16	07	1p36.13	PADI2		Peptidylarginine deiminase, type II	607935	REc, REn			
1.153	12	22	16	1p36.13	PADI3, UHS1		Peptidylarginine deiminase, type III	606755	REc, REn		Uncombable hair syndrome, 191480 (3)	
1.154	1	16	07	1p36.13	PADI4, PADI5, PAD		Peptidylarginine deiminase, type IV	605347	REc, REn		{Rheumatoid arthritis, susceptibility to}, 180300 (3)	
1.155	12	6	16	1p36.13	PADI6, PREMBL2		Peptidylarginine deiminase, type VI	610363	REn		Preimplantation embryonic lethality 2, 617234 (3)	
1.156	8	21	12	1p36.13	PQLC2		PQ loop repeat-containing protein 2	614760	REc			
1.157	10	25	16	1p36.13	RNF186		Ring finger protein 186	617163	REc			
1.158	1	25	18	1p13.3	SLC25A24, SCAMC1		Solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 24	608744	REc, H		Fontaine progeroid syndrome, 612289 (3)	2(Slc25a24)
1.159	9	30	10	1p36.21-p36.13	SPEN, MINT, SHARP, HIAA0929		SPEN, Drosophila, homolog of	613484	REc			
1.160	7	22	14	1p36.13	UBR4, ZUBR1, RBAF600, KIAA1307		Ubiquitin protein ligase E3 component n-recognin 4	609890	R, REc			
1.161	9	22	08	1q21.2	APH1A		Anterior pharynx defective 1, C. elegans, homolog of, A	607629	R, REc			
1.162	1	11	95	1p36.12	ID3		Inhibitor of DNA binding 3, dominant negative, helix-loop-helix protein	600277	RE, A			
1.163	10	24	97	1p36.13	D1S1733E, DAN		Differential-screening-selected gene aberrant in neuroblastoma	600613	A	aberrant in some neuroblastomas		4(D4H1S1733E)
1.164	1	29	16	1p36.11	MAN1C1		Mannosidase, alpha, class 1C, member 1	616772	REc			
1.165	1	3	05	1p36.13-p34.3	ANIB3		Aneurysm, intracranial berry, 3	609122	Fd		Aneurysm, intracranial berry, 3 (2)	
1.166	10	24	14	1p36.13-p34.3	EA8		Episodic ataxia, type 8	616055	Fd	between rs2743201 and rs215791	Episodic ataxia, type 8 (2)	
1.167	8	23	09	1p36.12	B6QTL1		Vitamin B6 plasma level QTL 1	612957	Fd	associated with rs4654748	{Vitamin B6 plasma level QTL 1} (2)	
1.168	1	9	13	1p36.12	CAMK2N1		Calcium/calmodulin-dependent protein kinase II inhibitor 1	614986	REc			
1.169	8	18	14	1p36.12	EIF4G3, EIF4GII		Eukaryotic translation initiation factor 4-gamma, 3	603929	REc			
1.170	7	17	09	1p36.12	EPHA8, EEK, HEK3		Ephrin receptor EphA8 (eph- and elk-related kinase)	176945	REa, REc			
1.171	11	3	14	1p36.12	HP1BP3, HP1BP74		Heterochromatin protein 1-binding protein 3	616072	REc			
1.172	3	3	16	1p36.12	KDM1A, LSD1, AOF2, BHC110, KIAA0601, CPRF		Lysine-specific demethylase 1A	609132	R, REc		Cleft palate, psychomotor retardation, and distinctive facial features, 616728 (3)	
1.173	7	20	12	1p36.12	KIF17, KIAA1405		Kinesin family member 17	605037	REc			
1.174	4	27	09	1p36.12	MUL1, MULAN, C1orf166		Mitochondrial ubiquitin ligase activator of NFKB1	612037	REc			
1.175	3	1	01	1p36.12	PLA2G2D, SPLASH		Phospholipase A2, group IID	605630	R			4(Pla2g2d)
1.176	5	25	13	1p36.12	TCEA3		Transcription elongation factor A, 3	604128	REc			
1.177	2	2	16	1p36.12	UBXN10		UBX domain protein 10	616783	REc			
1.178	4	5	11	1p36.12-p35.1	BFIS4, BFIC4		Seizures, benign familial infantile, 4	612627	Fd	between D1S2864 and D1S2830	Seizures, benign familial infantile, 4 (2)	
1.179	7	7	14	1p36.1-p35.3	AHDC1, MRD25		AT-hook DNA-binding motif-containing protein 1	615790	REc		Xia-Gibbs syndrome, 615829 (3)	
1.180	7	20	12	1p36.11	CD52, CDW52		CD52 molecule	114280	REc			
1.181	7	2	18	1p36.11	CLIC4, MTCLIC		Chloride intracellular channel 4	606536	REc			
1.182	2	25	15	1p36.11	CNKSR1, CNK1		Connector enhancer of KSR 1	603272	R, REc			
1.183	6	22	14	1p36.13	CROCC, ROOTLETIN, KIAA0445		Ciliary rootlet coiled-coil protein	615776	REc			
1.184	1	23	18	1p36.11	DHDDS, HDS, RP59, DEDSM		Dehydrodolichyl diphosphate synthase	608172	REc	mutation identified in 1 CDG1BB patient	Retinitis pigmentosa 59, 613861 (3); Developmental delay and seizures with or without movement abnormalities, 617836 (3); ?Congenital disorder of glycosylation, type 1bb, 613861 (3)	
1.185	4	6	11	1p36.11	FCN3, HAKA1		Ficolin 3	604973	R, REc		Immunodeficiency due to ficolin 3 deficiency, 613860 (3)	
1.186	5	19	17	1p36.11	GPATCH3		G-patch domain-containing protein 3	617486	REc			
1.187	3	11	14	1p36.11	GRHL3, SOM, TFCP2L4, VWS2		Grainyhead-like 3	608317	REc, Fd		Van der Woude syndrome 2, 606713 (3)	
1.188	10	7	02	1p36.12	HNRPR, HNRNPR		Heterogeneous nuclear ribonucleoprotein R	607201	R			
1.189	2	11	13	1p36.11	IFNLR1, IL28RA		Interferon, lambda receptor 1	607404	REc			
1.190	4	27	09	1p36.11	LIN28, LIN28A		Lin28, C. elegans, homolog of	611043	REc, H			4(Lin28)
1.191	12	30	14	1p36.11	LYPLA2, APT2		Lysophospholipase II	616143	REc			
1.192	2	8	12	1p36.11	MAP3K6, MAPKKK6, ASK2		Mitogen-activated protein kinase kinase kinase 6	604468	REc			
1.193	2	23	16	1p36.11	MYOM3		Myomesin 3	616832	REc			4(Myom3)
1.194	8	19	13	1p36.11	NUDC		Nuclear distribution gene C, A. nigulans, homolog of	610325	REc, A			
1.195	4	29	14	1p36.11	PAFAH2		Platelet-activating factor acetylhydrolase 2	602344	REc			
1.196	7	17	09	1p36.11	PAQR7, MPRA, PGLP		Progestin and ADIPOQ receptor family, member 7	607779	REc			
1.197	8	20	12	1p36.11	PIGV, HPMRS1		Phosphatidylinositol glycan, class V	610274	REc		Hyperphosphatasia with mental retardation syndrome 1, 239300 (3)	
1.198	3	11	08	1p36.11	PNRC2		Proline-rich nuclear receptor coactivator 2	611882	REc			
1.199	7	19	12	1p36.11	SFN		Stratifin	601290	REc			
1.200	3	7	14	1p36.11	SH3BGRL3		SH3 domain-binding glutamic acid-rich protein-like protein 3	615679	REc, A			
1.201	1	17	13	1p36.11	SLC30A2, ZNT2, TNZD		Solute carrier family 30 (zinc transporter), member 2	609617	REc		Zinc deficiency, transient neonatal, 608118 (3)	4(Slc30a2)
